date,is_home,opponent,gf,ga,result,home_team,away_team,home_score,away_score,year
1920-08-28,True,Denmark,1,0,W,Spain,Denmark,1,0,1920
1920-08-29,False,Belgium,1,3,L,Belgium,Spain,3,1,1920
1920-09-01,True,Sweden,2,1,W,Spain,Sweden,2,1,1920
1920-09-02,True,Italy,2,0,W,Spain,Italy,2,0,1920
1920-09-05,True,Netherlands,3,1,W,Spain,Netherlands,3,1,1920
1921-12-18,True,Portugal,3,1,W,Spain,Portugal,3,1,1921
1922-04-30,False,France,4,0,W,France,Spain,0,4,1922
1922-12-17,False,Portugal,2,1,W,Portugal,Spain,1,2,1922
1923-01-28,True,France,3,0,W,Spain,France,3,0,1923
1923-02-04,False,Belgium,0,1,L,Belgium,Spain,1,0,1923
1923-12-16,True,Portugal,3,0,W,Spain,Portugal,3,0,1923
1924-03-09,False,Italy,0,0,D,Italy,Spain,0,0,1924
1924-03-13,False,Catalonia,7,0,W,Catalonia,Spain,0,7,1924
1924-05-25,False,Italy,0,1,L,Italy,Spain,1,0,1924
1924-12-21,True,Austria,2,1,W,Spain,Austria,2,1,1924
1925-06-01,False,Switzerland,3,0,W,Switzerland,Spain,0,3,1925
1925-06-14,True,Italy,1,0,W,Spain,Italy,1,0,1925
1925-09-27,False,Austria,1,0,W,Austria,Spain,0,1,1925
1925-10-04,False,Hungary,1,0,W,Hungary,Spain,0,1,1925
1926-12-19,True,Hungary,4,2,W,Spain,Hungary,4,2,1926
1927-04-17,True,Switzerland,1,0,W,Spain,Switzerland,1,0,1927
1927-05-22,False,France,4,1,W,France,Spain,1,4,1927
1927-05-29,False,Italy,0,2,L,Italy,Spain,2,0,1927
1928-01-08,False,Portugal,2,2,D,Portugal,Spain,2,2,1928
1928-04-22,True,Italy,1,1,D,Spain,Italy,1,1,1928
1928-05-30,True,Mexico,7,1,W,Spain,Mexico,7,1,1928
1928-06-01,False,Italy,1,1,D,Italy,Spain,1,1,1928
1928-06-04,False,Italy,1,7,L,Italy,Spain,7,1,1928
1929-03-17,True,Portugal,5,0,W,Spain,Portugal,5,0,1929
1929-04-14,True,France,8,1,W,Spain,France,8,1,1929
1929-05-15,True,England,4,3,W,Spain,England,4,3,1929
1930-01-01,True,Czechoslovakia,1,0,W,Spain,Czechoslovakia,1,0,1930
1930-06-14,False,Czechoslovakia,0,2,L,Czechoslovakia,Spain,2,0,1930
1930-06-22,False,Italy,3,2,W,Italy,Spain,2,3,1930
1930-11-30,False,Portugal,1,0,W,Portugal,Spain,0,1,1930
1931-04-19,True,Italy,0,0,D,Spain,Italy,0,0,1931
